product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product
462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0
462899,Sports Shirt - White05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,MEDIUM,WHITE05,1,0
464016,Sports Shirt - White05 - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,LARGE,WHITE05,1,0
464837,Sports Shirt - White05 - Xlarge,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XLARGE,WHITE05,1,0
464838,Sports Shirt - White05 - Xxlarge,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XXLARGE,WHITE05,1,0
874975,Training Shoes - White03 - Fw9,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW9,WHITE03,1,0
875028,Training Shoes - White03 - Fw8,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW8,WHITE03,1,0
875029,Training Shoes - White03 - Fw8.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW8.5,WHITE03,1,0
875030,Training Shoes - White03 - Fw9.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW9.5,WHITE03,1,0
875031,Training Shoes - White03 - Fw10.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,mid,FW10.5,WHITE03,1,0
875127,Training Shoes - White03 - Fw11.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW11.5,WHITE03,1,0
875128,Training Shoes - White03 - Fw12,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW12,WHITE03,1,0
875129,Training Shoes - White03 - Fw13,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW13,WHITE03,1,0
875358,Training Shoes - White03 - Fw8,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW8,WHITE03,1,0
875359,Training Shoes - White03 - Fw8.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW8.5,WHITE03,1,0
875360,Training Shoes - White03 - Fw9,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW9,WHITE03,1,0
875361,Training Shoes - White03 - Fw13,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW13,WHITE03,1,0
875672,Training Shoes - White03 - Fw10,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW10,WHITE03,1,0
875673,Training Shoes - White03 - Fw12,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW12,WHITE03,1,0
875675,Training Shoes - White03 - Fw14,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW14,WHITE03,1,0
876187,Training Shoes - White03 - Fw9.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW9.5,WHITE03,1,0
876188,Training Shoes - White03 - Fw10,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,mid,FW10,WHITE03,1,0
876743,Training Shoes - White03 - Fw10.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW10.5,WHITE03,1,0
876744,Training Shoes - White03 - Fw11,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW11,WHITE03,1,0
876745,Training Shoes - White03 - Fw11,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW11,WHITE03,1,0
876746,Training Shoes - White03 - Fw11.5,Footwear,Athletic/Team Sports FW,Ath FW,Mens FW,Training FW,slow,FW11.5,WHITE03,1,0
941497,Sports Shirt - Brtblue05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,BRTBLUE05,1,0
941498,Sports Shirt - Brtblue05 - Xxlarge,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XXLARGE,BRTBLUE05,1,0
941898,Sports Shirt - Brtblue05 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,MEDIUM,BRTBLUE05,1,0
942697,Sports Shirt - Brtblue05 - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,LARGE,BRTBLUE05,1,0
942698,Sports Shirt - Brtblue05 - Xlarge,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XLARGE,BRTBLUE05,1,0
942699,Sports Shirt - Darkblue03 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,DARKBLUE03,1,0
942700,Sports Shirt - Darkblue03 - Medium,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,MEDIUM,DARKBLUE03,1,0
942701,Sports Shirt - Darkblue03 - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,LARGE,DARKBLUE03,1,0
